observation_date,Inter_rate
1960-01-01,5.400000000
1960-02-01,5.230000000
1960-03-01,4.120000000
1960-04-01,4.290000000
1960-05-01,3.780000000
1960-06-01,3.870000000
1960-07-01,3.780000000
1960-08-01,3.020000000
1960-09-01,2.520000000
1960-10-01,3.450000000
1960-11-01,4.210000000
1960-12-01,4.290000000
1961-01-01,3.780000000
1961-02-01,3.530000000
1961-03-01,3.780000000
1961-04-01,3.530000000
1961-05-01,3.780000000
1961-06-01,3.280000000
1961-07-01,3.020000000
1961-08-01,3.280000000
1961-09-01,3.110000000
1961-10-01,3.020000000
1961-11-01,2.850000000
1961-12-01,3.450000000
1962-01-01,3.514000000
1962-02-01,3.382500000
1962-03-01,3.310000000
1962-04-01,3.417500000
1962-05-01,3.546000000
1962-06-01,4.127500000
1962-07-01,5.697500000
1962-08-01,5.698000000
1962-09-01,5.445000000
1962-10-01,4.964000000
1962-11-01,4.380000000
1962-12-01,4.312500000
1963-01-01,4.248000000
1963-02-01,4.162500000
1963-03-01,4.155000000
1963-04-01,3.807500000
1963-05-01,3.582000000
1963-06-01,3.627500000
1963-07-01,3.806000000
1963-08-01,4.167500000
1963-09-01,4.130000000
1963-10-01,4.000000000
1963-11-01,4.115000000
1963-12-01,4.327500000
1964-01-01,4.202000000
1964-02-01,4.060000000
1964-03-01,4.170000000
1964-04-01,4.118000000
1964-05-01,4.050000000
1964-06-01,4.020000000
1964-07-01,4.032000000
1964-08-01,4.222500000
1964-09-01,4.308000000
1964-10-01,4.380000000
1964-11-01,4.360000000
1964-12-01,4.590000000
1965-01-01,4.362500000
1965-02-01,4.370000000
1965-03-01,4.444000000
1965-04-01,4.480000000
1965-05-01,4.685000000
1965-06-01,4.816000000
1965-07-01,4.900000000
1965-08-01,5.170000000
1965-09-01,5.226000000
1965-10-01,5.340000000
1965-11-01,5.650000000
1965-12-01,5.960000000
1966-01-01,6.047500000
1966-02-01,6.020000000
1966-03-01,6.050000000
1966-04-01,6.055000000
1966-05-01,6.137500000
1966-06-01,6.244000000
1966-07-01,6.317500000
1966-08-01,6.344000000
1966-09-01,6.405000000
1966-10-01,6.382500000
1966-11-01,6.470000000
1966-12-01,6.602500000
1967-01-01,6.440000000
1967-02-01,6.037500000
1967-03-01,5.566000000
1967-04-01,5.010000000
1967-05-01,5.046000000
1967-06-01,5.422500000
1967-07-01,5.587500000
1967-08-01,5.630000000
1967-09-01,5.825000000
1967-10-01,6.502500000
1967-11-01,6.524000000
1967-12-01,6.575000000
1968-01-01,6.578000000
1968-02-01,6.800000000
1968-03-01,7.137500000
1968-04-01,7.257500000
1968-05-01,7.350000000
1968-06-01,7.327500000
1968-07-01,7.118000000
1968-08-01,6.722500000
1968-09-01,6.215000000
1968-10-01,6.318000000
1968-11-01,6.447500000
1968-12-01,6.550000000
1969-01-01,6.858000000
1969-02-01,6.885000000
1969-03-01,6.952500000
1969-04-01,7.064000000
1969-05-01,7.132500000
1969-06-01,7.597500000
1969-07-01,8.082000000
1969-08-01,8.355000000
1969-09-01,8.430000000
1969-10-01,8.550000000
1969-11-01,8.602500000
1969-12-01,9.030000000
1970-01-01,9.065000000
1970-02-01,8.575000000
1970-03-01,8.237500000
1970-04-01,7.738000000
1970-05-01,7.855000000
1970-06-01,7.327500000
1970-07-01,7.624000000
1970-08-01,7.627500000
1970-09-01,6.860000000
1970-10-01,6.835000000
1970-11-01,6.120000000
1970-12-01,5.582000000
1971-01-01,5.775000000
1971-02-01,5.472500000
1971-03-01,4.092000000
1971-04-01,3.745000000
1971-05-01,3.902500000
1971-06-01,3.910000000
1971-07-01,4.437500000
1971-08-01,4.545000000
1971-09-01,4.796000000
1971-10-01,5.155000000
1971-11-01,4.605000000
1971-12-01,4.396000000
1972-01-01,4.062500000
1972-02-01,4.497500000
1972-03-01,5.256000000
1972-04-01,5.752500000
1972-05-01,6.018000000
1972-06-01,5.515000000
1972-07-01,4.980000000
1972-08-01,4.836000000
1972-09-01,5.025000000
1972-10-01,5.025000000
1972-11-01,5.124000000
1972-12-01,5.085000000
1973-01-01,5.116000000
1973-02-01,4.937500000
1973-03-01,5.102500000
1973-04-01,5.582500000
1973-05-01,6.350000000
1973-06-01,7.085000000
1973-07-01,7.705000000
1973-08-01,8.310000000
1973-09-01,8.802500000
1973-10-01,9.350000000
1973-11-01,9.350000000
1973-12-01,9.925000000
1974-01-01,9.468000000
1974-02-01,8.745000000
1974-03-01,8.907500000
1974-04-01,10.417500000
1974-05-01,11.782000000
1974-06-01,11.375000000
1974-07-01,11.648000000
1974-08-01,11.805000000
1974-09-01,11.540000000
1974-10-01,10.752000000
1974-11-01,9.795000000
1974-12-01,10.417500000
1975-01-01,8.476000000
1975-02-01,6.895000000
1975-03-01,6.770000000
1975-04-01,7.094000000
1975-05-01,7.510000000
1975-06-01,7.282500000
1975-07-01,7.484000000
1975-08-01,8.355000000
1975-09-01,8.940000000
1975-10-01,8.888000000
1975-11-01,9.172500000
1975-12-01,9.418000000
1976-01-01,9.040000000
1976-02-01,8.907500000
1976-03-01,9.806000000
1976-04-01,9.730000000
1976-05-01,9.435000000
1976-06-01,9.390000000
1976-07-01,9.340000000
1976-08-01,9.340000000
1976-09-01,9.470000000
1976-10-01,9.270000000
1976-11-01,9.040000000
1976-12-01,8.550000000
1977-01-01,8.127500000
1977-02-01,7.835000000
1977-03-01,7.770000000
1977-04-01,7.640000000
1977-05-01,7.380000000
1977-06-01,7.042000000
1977-07-01,7.185000000
1977-08-01,7.510000000
1977-09-01,7.315000000
1977-10-01,7.380000000
1977-11-01,7.458000000
1977-12-01,7.272500000
1978-01-01,7.167500000
1978-02-01,7.267500000
1978-03-01,7.570000000
1978-04-01,8.357500000
1978-05-01,8.172000000
1978-06-01,8.357500000
1978-07-01,8.447500000
1978-08-01,8.942000000
1978-09-01,9.270000000
1978-10-01,9.780000000
1978-11-01,10.626000000
1978-12-01,10.607500000
1979-01-01,10.970000000
1979-02-01,11.005000000
1979-03-01,11.110000000
1979-04-01,11.240000000
1979-05-01,11.286000000
1979-06-01,11.190000000
1979-07-01,11.262500000
1979-08-01,11.790000000
1979-09-01,12.000000000
1979-10-01,13.470000000
1979-11-01,14.162500000
1979-12-01,14.050000000
1980-01-01,13.910000000
1980-02-01,14.037500000
1980-03-01,14.725000000
1980-04-01,16.130000000
1980-05-01,12.975000000
1980-06-01,11.637500000
1980-07-01,11.030000000
1980-08-01,10.562500000
1980-09-01,10.762500000
1980-10-01,11.670000000
1980-11-01,13.087500000
1980-12-01,17.020000000
1981-01-01,17.012500000
1981-02-01,17.475000000
1981-03-01,16.962500000
1981-04-01,17.220000000
1981-05-01,18.975000000
1981-06-01,19.250000000
1981-07-01,19.660000000
1981-08-01,22.012500000
1981-09-01,20.540000000
1981-10-01,18.787500000
1981-11-01,16.612500000
1981-12-01,16.000000000
1982-01-01,15.025000000
1982-02-01,15.325000000
1982-03-01,15.740000000
1982-04-01,15.737500000
1982-05-01,15.537500000
1982-06-01,16.880000000
1982-07-01,16.262500000
1982-08-01,14.762500000
1982-09-01,13.610000000
1982-10-01,12.012500000
1982-11-01,11.050000000
1982-12-01,10.560000000
1983-01-01,9.887500000
1983-02-01,9.750000000
1983-03-01,9.370000000
1983-04-01,9.362500000
1983-05-01,9.225000000
1983-06-01,9.350000000
1983-07-01,9.350000000
1983-08-01,9.440000000
1983-09-01,9.325000000
1983-10-01,9.300000000
1983-11-01,9.380000000
1983-12-01,9.850000000
1984-01-01,9.837500000
1984-02-01,9.830000000
1984-03-01,10.350000000
1984-04-01,10.700000000
1984-05-01,11.430000000
1984-06-01,11.775000000
1984-07-01,12.912500000
1984-08-01,12.380000000
1984-09-01,12.175000000
1984-10-01,11.950000000
1984-11-01,10.987500000
1984-12-01,10.337500000
1985-01-01,9.670000000
1985-02-01,10.575000000
1985-03-01,11.300000000
1985-04-01,10.162500000
1985-05-01,9.750000000
1985-06-01,9.487500000
1985-07-01,9.260000000
1985-08-01,9.112500000
1985-09-01,9.062500000
1985-10-01,8.710000000
1985-11-01,8.825000000
1985-12-01,9.237500000
1986-01-01,10.160000000
1986-02-01,11.725000000
1986-03-01,11.025000000
1986-04-01,9.550000000
1986-05-01,8.575000000
1986-06-01,8.700000000
1986-07-01,8.470000000
1986-08-01,8.512500000
1986-09-01,8.350000000
1986-10-01,8.440000000
1986-11-01,8.387500000
1986-12-01,8.360000000
1987-01-01,7.925000000
1987-02-01,7.437500000
1987-03-01,7.175000000
1987-04-01,7.620000000
1987-05-01,8.250000000
1987-06-01,8.462500000
1987-07-01,8.640000000
1987-08-01,9.137500000
1987-09-01,9.360000000
1987-10-01,9.162500000
1987-11-01,8.775000000
1987-12-01,8.970000000
1988-01-01,8.712500000
1988-02-01,8.550000000
1988-03-01,8.590000000
1988-04-01,8.862500000
1988-05-01,9.037500000
1988-06-01,9.370000000
1988-07-01,9.412500000
1988-08-01,9.910000000
1988-09-01,10.475000000
1988-10-01,10.437500000
1988-11-01,10.850000000
1988-12-01,11.112500000
1989-01-01,11.287500000
1989-02-01,11.562500000
1989-03-01,12.210000000
1989-04-01,12.475000000
1989-05-01,12.402000000
1989-06-01,12.312500000
1989-07-01,12.225000000
1989-08-01,12.292000000
1989-09-01,12.327500000
1989-10-01,12.330000000
1989-11-01,12.352000000
1989-12-01,12.345000000
1990-01-01,12.244000000
1990-02-01,12.842500000
1990-03-01,13.357500000
1990-04-01,13.515000000
1990-05-01,13.760000000
1990-06-01,13.817500000
1990-07-01,13.675000000
1990-08-01,13.256000000
1990-09-01,12.755000000
1990-10-01,12.578000000
1990-11-01,12.405000000
1990-12-01,12.050000000
1991-01-01,11.366000000
1991-02-01,10.520000000
1991-03-01,9.957500000
1991-04-01,9.707500000
1991-05-01,9.198000000
1991-06-01,8.832500000
1991-07-01,8.760000000
1991-08-01,8.722500000
1991-09-01,8.590000000
1991-10-01,8.366000000
1991-11-01,7.847500000
1991-12-01,7.455000000
1992-01-01,7.310000000
1992-02-01,7.252500000
1992-03-01,7.540000000
1992-04-01,7.118000000
1992-05-01,6.617500000
1992-06-01,6.032500000
1992-07-01,5.574000000
1992-08-01,5.172500000
1992-09-01,5.038000000
1992-10-01,7.637500000
1992-11-01,6.932500000
1992-12-01,7.900000000
1993-01-01,6.992500000
1993-02-01,6.395000000
1993-03-01,5.610000000
1993-04-01,5.275000000
1993-05-01,5.325000000
1993-06-01,4.880000000
1993-07-01,4.472500000
1993-08-01,4.307500000
1993-09-01,4.786000000
1993-10-01,4.737500000
1993-11-01,4.362500000
1993-12-01,4.092000000
1994-01-01,3.872500000
1994-02-01,3.805000000
1994-03-01,4.206000000
1994-04-01,5.887500000
1994-05-01,6.285000000
1994-06-01,6.394000000
1994-07-01,6.362500000
1994-08-01,5.680000000
1994-09-01,5.642500000
1994-10-01,5.440000000
1994-11-01,5.680000000
1994-12-01,6.597500000
1995-01-01,7.838000000
1995-02-01,8.118000000
1995-03-01,8.314782609
1995-04-01,8.148421053
1995-05-01,7.561363636
1995-06-01,7.047727273
1995-07-01,6.666000000
1995-08-01,6.586818182
1995-09-01,6.687500000
1995-10-01,6.697619048
1995-11-01,6.008095238
1995-12-01,5.895263158
1996-01-01,5.546818182
1996-02-01,5.222857143
1996-03-01,5.214761905
1996-04-01,5.008571429
1996-05-01,4.809090909
1996-06-01,4.849000000
1996-07-01,4.732727273
1996-08-01,4.267619048
1996-09-01,4.078500000
1996-10-01,3.516818182
1996-11-01,3.019500000
1996-12-01,3.122500000
1997-01-01,3.152727273
1997-02-01,3.116000000
1997-03-01,3.217500000
1997-04-01,3.460454545
1997-05-01,3.321904762
1997-06-01,3.265238095
1997-07-01,3.531818182
1997-08-01,3.638000000
1997-09-01,3.626666667
1997-10-01,3.799545455
1997-11-01,3.994736842
1997-12-01,4.567142857
1998-01-01,4.651904762
1998-02-01,4.977500000
1998-03-01,4.874090909
1998-04-01,4.898095238
1998-05-01,5.020000000
1998-06-01,5.016818182
1998-07-01,5.051363636
1998-08-01,5.305500000
1998-09-01,5.600476190
1998-10-01,5.275238095
1998-11-01,5.147000000
1998-12-01,5.002857143
1999-01-01,5.004500000
1999-02-01,5.033500000
1999-03-01,5.057391304
1999-04-01,4.716666667
1999-05-01,4.615500000
1999-06-01,4.815454545
1999-07-01,4.792857143
1999-08-01,4.924761905
1999-09-01,4.830476190
1999-10-01,5.014000000
1999-11-01,5.040952381
1999-12-01,5.135238095
2000-01-01,5.260500000
2000-02-01,5.312380952
2000-03-01,5.405652174
2000-04-01,5.516315789
2000-05-01,5.861818182
2000-06-01,5.917272727
2000-07-01,5.878500000
2000-08-01,5.892727273
2000-09-01,5.851500000
2000-10-01,5.844761905
2000-11-01,5.876666667
2000-12-01,5.763684211
2001-01-01,5.456363636
2001-02-01,5.207500000
2001-03-01,4.748181818
2001-04-01,4.602500000
2001-05-01,4.445909091
2001-06-01,4.419523810
2001-07-01,4.304285714
2001-08-01,4.062727273
2001-09-01,3.497894737
2001-10-01,2.896363636
2001-11-01,2.284761905
2001-12-01,2.117368421
2002-01-01,2.014090909
2002-02-01,2.116000000
2002-03-01,2.240500000
2002-04-01,2.402727273
2002-05-01,2.610909091
2002-06-01,2.789000000
2002-07-01,2.875909091
2002-08-01,2.945714286
2002-09-01,2.915500000
2002-10-01,2.880909091
2002-11-01,2.836000000
2002-12-01,2.857000000
2003-01-01,2.870000000
2003-02-01,2.921000000
2003-03-01,3.201904762
2003-04-01,3.301904762
2003-05-01,3.322857143
2003-06-01,3.215714286
2003-07-01,3.010454545
2003-08-01,2.854210526
2003-09-01,2.712857143
2003-10-01,2.695000000
2003-11-01,2.760000000
2003-12-01,2.707142857
2004-01-01,2.508095238
2004-02-01,2.323000000
2004-03-01,2.159565217
2004-04-01,2.068571429
2004-05-01,2.067500000
2004-06-01,2.101818182
2004-07-01,2.105238095
2004-08-01,2.145238095
2004-09-01,2.412857143
2004-10-01,2.575000000
2004-11-01,2.703809524
2004-12-01,2.571904762
2005-01-01,2.564000000
2005-02-01,2.582500000
2005-03-01,2.625909091
2005-04-01,2.584761905
2005-05-01,2.586190476
2005-06-01,2.583181818
2005-07-01,2.631000000
2005-08-01,2.770000000
2005-09-01,2.890000000
2005-10-01,3.099000000
2005-11-01,3.295714286
2005-12-01,3.469000000
2006-01-01,3.618571429
2006-02-01,3.763000000
2006-03-01,3.940869565
2006-04-01,4.122631579
2006-05-01,4.258636364
2006-06-01,4.417727273
2006-07-01,4.378000000
2006-08-01,4.344090909
2006-09-01,4.321500000
2006-10-01,4.327619048
2006-11-01,4.312380952
2006-12-01,4.320588235
2007-01-01,4.333636364
2007-02-01,4.348000000
2007-03-01,4.345909091
2007-04-01,4.350000000
2007-05-01,4.368636364
2007-06-01,4.529523810
2007-07-01,4.680000000
2007-08-01,4.947272727
2007-09-01,5.119473684
2007-10-01,4.915000000
2007-11-01,4.767619048
2007-12-01,4.796315789
2008-01-01,4.246363636
2008-02-01,3.820000000
2008-03-01,3.583000000
2008-04-01,3.457000000
2008-05-01,3.150500000
2008-06-01,3.177647059
2008-07-01,3.267000000
2008-08-01,3.234000000
2008-09-01,3.338571429
2008-10-01,3.318636364
2008-11-01,2.776315789
2008-12-01,2.344285714
2009-01-01,1.589047619
2009-02-01,1.231052632
2009-03-01,1.062727273
2009-04-01,0.898095238
2009-05-01,0.636500000
2009-06-01,0.560000000
2009-07-01,0.383636364
2009-08-01,0.420500000
2009-09-01,0.398095238
2009-10-01,0.386666667
2009-11-01,0.380500000
2009-12-01,0.379047619
2010-01-01,0.380000000
2010-02-01,0.375789474
2010-03-01,0.385652174
2010-04-01,0.487619048
2010-05-01,0.603500000
2010-06-01,0.724090909
2010-07-01,0.832857143
2010-08-01,0.902857143
2010-09-01,1.114285714
2010-10-01,1.157000000
2010-11-01,1.167142857
2010-12-01,1.179523810
2011-01-01,1.180000000
2011-02-01,1.188421053
2011-03-01,1.183913043
2011-04-01,1.184000000
2011-05-01,1.187142857
2011-06-01,1.169545455
2011-07-01,1.170000000
2011-08-01,1.151818182
2011-09-01,1.150000000
2011-10-01,1.151500000
2011-11-01,1.159523810
2011-12-01,1.156000000
2012-01-01,1.158571429
2012-02-01,1.160000000
2012-03-01,1.152272727
2012-04-01,1.147000000
2012-05-01,1.179545455
2012-06-01,1.160952381
2012-07-01,1.160000000
2012-08-01,1.160000000
2012-09-01,1.160000000
2012-10-01,1.160000000
2012-11-01,1.160000000
2012-12-01,1.160000000
2013-01-01,1.160000000
2013-02-01,1.160000000
2013-03-01,1.160000000
2013-04-01,1.160000000
2013-05-01,1.160000000
2013-06-01,1.162000000
2013-07-01,1.167272727
2013-08-01,1.170000000
2013-09-01,1.168000000
2013-10-01,1.166818182
2013-11-01,1.170000000
2013-12-01,1.169000000
2014-01-01,1.170000000
2014-02-01,1.170000000
2014-03-01,1.170000000
2014-04-01,1.170000000
2014-05-01,1.177619048
2014-06-01,1.174285714
2014-07-01,1.170000000
2014-08-01,1.170000000
2014-09-01,1.170000000
2014-10-01,1.170000000
2014-11-01,1.175263158
2014-12-01,1.188571429
2015-01-01,1.122857143
2015-02-01,0.886315789
2015-03-01,0.893636364
2015-04-01,0.896190476
2015-05-01,0.890000000
2015-06-01,0.890000000
2015-07-01,0.740454545
2015-08-01,0.610000000
2015-09-01,0.651904762
2015-10-01,0.714761905
2015-11-01,0.758500000
2015-12-01,0.817142857
2016-01-01,0.796500000
2016-02-01,0.799000000
2016-03-01,0.800000000
2016-04-01,0.836190476
2016-05-01,0.836666667
2016-06-01,0.827727273
2016-07-01,0.810500000
2016-08-01,0.820000000
2016-09-01,0.810952381
2016-10-01,0.816000000
2016-11-01,0.820000000
2016-12-01,0.823000000
2017-01-01,0.872380952
2017-02-01,0.876842105
2017-03-01,0.845652174
2017-04-01,0.843157895
2017-05-01,0.797727273
2017-06-01,0.828636364
2017-07-01,1.123000000
2017-08-01,1.198636364
2017-09-01,1.321000000
2017-10-01,1.329047619
2017-11-01,1.328095238
2017-12-01,1.372105263
2018-01-01,1.552727273
2018-02-01,1.550000000
